1,51.5028,-0.2801,"Acton Town","Acton<br />Town",3,2,0
2,51.5143,-0.0755,"Aldgate",NULL,1,2,0
3,51.5154,-0.0726,"Aldgate East","Aldgate<br />East",1,2,0
4,51.5107,-0.013,"All Saints","All<br />Saints",2,1,0
5,51.5407,-0.2997,"Alperton",NULL,4,1,0
7,51.5322,-0.1058,"Angel",NULL,1,1,0
8,51.5653,-0.1353,"Archway",NULL,2.5,1,0
9,51.6164,-0.1331,"Arnos Grove","Arnos<br />Grove",4,1,0
10,51.5586,-0.1059,"Arsenal",NULL,2,1,0
11,51.5226,-0.1571,"Baker Street","Baker<br />Street",1,5,0
